term_id,name,slug,description,display_type,parent,thumbnail,meta:rank_math_title,meta:rank_math_description,meta:rank_math_robots,meta:rank_math_focus_keyword,meta:rank_math_canonical_url
16,"ספרי הוצאת ראובן מס",rmass_publication,"הספרים של הוצאת ראובן מס - ספרי עיון וספרי יהדות",products,0,,,,,,
30,"ספרים מהוצאות שונות",public,"סיפריי עיון דת ופנאי לכל דורש",products,0,https://sefertov.co.il/wp-content/uploads/2022/09/Depositphotos_26818899_S.jpeg,,,,ספרי,
182,"001 ספרות ילדים ונוער",001,"ספרות ילדים ונוער",both,16,,,,,,
183,"002 ספרות דתית לילדים",002,"ספרות דתית לילדים",default,16,,,,,,
184,"005 שירה",005,שירה,default,16,,,,,,
185,"007 הומור",007,הומור,default,16,,,,,,
186,"010 חקרי ספרות ולשון",010,"חקרי ספרות ולשון",default,16,,,,,,
187,"025 הסטוריה כללית",025,"הסטוריה כללית",default,16,,"%term% %sep% %sitename%",%term_description%,,,
188,"30 היהודים בתפוצות",30,"היהודים בתפוצות",default,16,,"%term% %sep% %sitename%",%term_description%,,,
189,"31 ציונות",31,ציונות,default,16,,"%term% %sep% %sitename%",%term_description%,,,
190,"32 השואה",32,השואה,default,16,,"%term% %sep% %sitename%",%term_description%,,,
191,"35 ארץ-ישראל",35,ארץ-ישראל,default,16,,"%term% %sep% %sitename%",%term_description%,,,
192,"39 פוליטיקה",39,פוליטיקה,default,16,,"%term% %sep% %sitename%",%term_description%,,,
193,"40 התישבות",40,התישבות,default,16,,"%term% %sep% %sitename%",%term_description%,,,
194,"41 מדעי היהדות",41,"מדעי היהדות",default,16,,"%term% %sep% %sitename%",%term_description%,,,
195,"42 חברה וחינוך",42,"חברה וחינוך",default,16,,"%term% %sep% %sitename%",%term_description%,,,
196,"43 הגות ופילוסופיה",43,"הגות ופילוסופיה",default,16,,"%term% %sep% %sitename%",%term_description%,,,
197,"45 חוק ומשפט",45,"חוק ומשפט",default,16,,"%term% %sep% %sitename%",%term_description%,,,
198,"46 פובליציסטיקה",46,פובליציסטיקה,default,16,,"%term% %sep% %sitename%",%term_description%,,,
199,"47 צבא, מלחמה, נשק",47,"צבא, מלחמה, נשק
",default,16,,"%term% %sep% %sitename%",%term_description%,,,
200,"48 כלכלה וכספים",48,"כלכלה וכספים
",default,16,,"%term% %sep% %sitename%",%term_description%,,,
201,"50 המזרח התיכון",50,"המזרח התיכון",default,16,,"%term% %sep% %sitename%",%term_description%,,,
202,"055 יחסי ישראל-ערב",55,"יחסי ישראל-ערב
",default,16,,"%term% %sep% %sitename%",%term_description%,,,
203,"060 ביוגרפיות ויומנים",060,"ביוגרפיות ויומנים
",default,16,,"%term% %sep% %sitename%",%term_description%,,,
204,"60 ביוגרפיות ויומנים",60,"ביוגרפיות ויומנים
",default,16,,"%term% %sep% %sitename%",%term_description%,,,
205,"075 יידיש",075,יידיש,default,16,,"%term% %sep% %sitename%",%term_description%,,,
206,"080 יהדות – כללי",080,"יהדות - כללי
",default,16,,"%term% %sep% %sitename%",%term_description%,,,
207,"081 חגי ישראל",081,"חגי ישראל
",default,16,,"%term% %sep% %sitename%",%term_description%,,,
208,"085 תנ""ך ומפרשיו",085,"תנ""ך ומפרשיו
",default,16,,"%term% %sep% %sitename%",%term_description%,,,
