post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,meta:ekit_post_views_count,meta:rank_math_analytic_object_id,meta:rank_math_internal_links_processed,meta:rank_math_primary_product_cat,meta:rank_math_seo_score,meta:shopengine_product_views_count,meta:total_sales,attribute:author,attribute_data:author,attribute_default:author,attribute:isbn,attribute_data:isbn,attribute_default:isbn,attribute:nameofpublisher,attribute_data:nameofpublisher,attribute_default:nameofpublisher,attribute:numofpages,attribute_data:numofpages,attribute_default:numofpages,attribute:placeofpublisher,attribute_data:placeofpublisher,attribute_default:placeofpublisher,attribute:yearofpublish,attribute_data:yearofpublish,attribute_default:yearofpublish,attribute:yearofpublishheb,attribute_data:yearofpublishheb,attribute_default:yearofpublishheb
"מילון רפואי חדש (כר' קלה) / אבן-אודם,יוסף&רותם,יעקב",מילון-רפואי-חדש-כר-קלה-אבן-אודםיוסףרו,,50272,"הדפ. חדשה",,publish,,0,"2022-12-25 19:23:34",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/50272.png ! alt :  ! title : 50272.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%9e%d7%99%d7%9c%d7%95%d7%9f-%d7%a8%d7%a4%d7%95%d7%90%d7%99-%d7%97%d7%93%d7%a9-%d7%9b%d7%a8-%d7%a7%d7%9c%d7%94-%d7%90%d7%91%d7%9f-%d7%90%d7%95%d7%93%d7%9d%d7%99%d7%95%d7%a1%d7%a3%d7%a8%d7%95/,simple,,,,,9,,1,,,9,0,,,,,,,,,,,,,,,,,,,,,
"קבוצי-יחד / הברמן,א.מ",קבוצי-יחד-הברמןא-מ,,64792,,,publish,,0,"2022-12-25 19:23:40",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/64792.png ! alt :  ! title : 64792.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%a7%d7%91%d7%95%d7%a6%d7%99-%d7%99%d7%97%d7%93-%d7%94%d7%91%d7%a8%d7%9e%d7%9f%d7%90-%d7%9e/,simple,,,,,9,,1,,,9,0,,,,,,,,,,,,,,,,,,,,,
"הגדה של פסח לילדים / גייסמר",הגדה-של-פסח-לילדים-גייסמר,,73127,,,publish,,0,"2022-12-25 19:23:42",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/73127.png ! alt :  ! title : 73127.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%94%d7%92%d7%93%d7%94-%d7%a9%d7%9c-%d7%a4%d7%a1%d7%97-%d7%9c%d7%99%d7%9c%d7%93%d7%99%d7%9d-%d7%92%d7%99%d7%99%d7%a1%d7%9e%d7%a8/,simple,,,,,12,,1,,,12,0,,,,,,,,,,,,,,,,,,,,,
"הגותו של הרמב""ם / שורץ",הגותו-של-הרמבם-שורץ,,73128,,,publish,,0,"2022-12-25 19:23:44",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/73128.png ! alt :  ! title : 73128.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%94%d7%92%d7%95%d7%aa%d7%95-%d7%a9%d7%9c-%d7%94%d7%a8%d7%9e%d7%91%d7%9d-%d7%a9%d7%95%d7%a8%d7%a5/,simple,,,,,9,,1,,,9,0,,,,,,,,,,,,,,,,,,,,,
"החינוך היהודי בתקופת המשנה והתלמוד / אברבך",החינוך-היהודי-בתקופת-המשנה-והתלמוד-אב,,73144,,,publish,,0,"2022-12-25 19:23:50",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/73144.png ! alt :  ! title : 73144.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%94%d7%97%d7%99%d7%a0%d7%95%d7%9a-%d7%94%d7%99%d7%94%d7%95%d7%93%d7%99-%d7%91%d7%aa%d7%a7%d7%95%d7%a4%d7%aa-%d7%94%d7%9e%d7%a9%d7%a0%d7%94-%d7%95%d7%94%d7%aa%d7%9c%d7%9e%d7%95%d7%93-%d7%90%d7%91/,simple,,,,,8,,1,,,8,0,,,,,,,,,,,,,,,,,,,,,
"הלשון העברית בדרכי התפתחותה / חומסקי",הלשון-העברית-בדרכי-התפתחותה-חומסקי,,73163,", הלשון מהי? מה בינה ובין מחשבות אדם ורגשותיו? האם היא לבוש המחשבה והרגש, או עצמן ועיקרן, קרקע גידולן ושגשוגן של תכונות אלו?
בשאלות אלו וכדומה להן התעסקו החוקרים מאז ומעולם. בימינו מבינים החוקרים שהלשון היא פרי התפתחות איטית והדרגתית, רודפת בניסיון להשיג את המחשבה והרגש האנושיים שלא מפסיקים לחדש תחומים והגדרות המבקשים את ביטוין בכלי ההבעה האנושית.
בספר זה מבקש פרופסור חומסקי להביא לקורא את תחומי העיסוק הרבים שבתוך הלשון בכלל ואת התפתחותה של הלשון העברית בפרט. תוך עיסוק במקומה של הלשון העברית במשפחת הלשונות, קדמות הלשון העברית ומקורותיה בכתבי הקודש, עולה תמונה רחבה של ההיסטוריה של העברית.
עוד בספר: תולדות התפתחות הכתב, הניקוד והדקדוק העברי, התרחבותה של השפה בימי הביניים, הסתגלותה לזמן החדש, ועוד.",,publish,,0,"2022-12-25 19:23:51",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/73163.png ! alt :  ! title : 73163.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%94%d7%9c%d7%a9%d7%95%d7%9f-%d7%94%d7%a2%d7%91%d7%a8%d7%99%d7%aa-%d7%91%d7%93%d7%a8%d7%9b%d7%99-%d7%94%d7%aa%d7%a4%d7%aa%d7%97%d7%95%d7%aa%d7%94-%d7%97%d7%95%d7%9e%d7%a1%d7%a7%d7%99/,simple,,,,,10,,1,,,10,0,,,,,,,,,,,,,,,,,,,,,
"המשורר מסרגוסה / גלוזמן,שרה",המשורר-מסרגוסה-גלוזמןשרה,,73172,"סיפור חייו של המשורר שלמה בן יהודה אבן גבירול",,publish,,0,"2022-12-25 19:23:26",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/73172.png ! alt :  ! title : 73172.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%94%d7%9e%d7%a9%d7%95%d7%a8%d7%a8-%d7%9e%d7%a1%d7%a8%d7%92%d7%95%d7%a1%d7%94-%d7%92%d7%9c%d7%95%d7%96%d7%9e%d7%9f%d7%a9%d7%a8%d7%94/,simple,,,,,10,,1,,,10,0,,,,,,,,,,,,,,,,,,,,,
"הנביא מסן ניקנדרו / לפיד",הנביא-מסן-ניקנדרו-לפיד,,73175,,,publish,,0,"2022-12-25 19:23:27",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/73175.png ! alt :  ! title : 73175.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%94%d7%a0%d7%91%d7%99%d7%90-%d7%9e%d7%a1%d7%9f-%d7%a0%d7%99%d7%a7%d7%a0%d7%93%d7%a8%d7%95-%d7%9c%d7%a4%d7%99%d7%93/,simple,,,,,12,,1,,,12,0,,,,,,,,,,,,,,,,,,,,,
"הנר לא כבה / שלום,ש",הנר-לא-כבה-שלוםש,,73178,רומן,,publish,,0,"2022-12-25 19:23:28",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/73178.png ! alt :  ! title : 73178.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%94%d7%a0%d7%a8-%d7%9c%d7%90-%d7%9b%d7%91%d7%94-%d7%a9%d7%9c%d7%95%d7%9d%d7%a9/,simple,,,,,11,,1,,,11,0,,,,,,,,,,,,,,,,,,,,,
"הצה""ר ובית""ר / לובוצקי",הצהר-וביתר-לובוצקי,,73192,,,publish,,0,"2022-12-25 19:23:29",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/73192.png ! alt :  ! title : 73192.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%94%d7%a6%d7%94%d7%a8-%d7%95%d7%91%d7%99%d7%aa%d7%a8-%d7%9c%d7%95%d7%91%d7%95%d7%a6%d7%a7%d7%99/,simple,,,,,11,,1,,,11,0,,,,,,,,,,,,,,,,,,,,,
