SKU,attribute:Classification,post_title,post_content,post_excerpt,parent_sku,attribute:Publication_Location,attribute:Publisher,attribute:number_of_pages,attribute:Hebrew_Year_of_Publication,attribute:Year_of_Publish,attribute:Price_Dolar,Price NIS and Vat,attribute:Date_Of_Update_Price,attribute:Publisher_Discount,attribute:isbn,_____,attribute:Author,misc,Name Eng,Price_NIS_No_Vat,Publisher_Code,Publishing_PlaceZip,Autjor_Name_Eng,Dewey_sort,Magazine,Fixed_Price
100542,010,A History of the Ararat Pub.Soc.,With correspondence between Benzion Margulies ans Simon Rawidowicz; Hebrew &English,A History of the Ararat Pub.Soc.,7261,Jerusalem,Rubin Mass,112,,1998,22,54,27-May-98,35,965-09-0091-8,,,,,,,,"Greenbaum,A.",,FALSE,TRUE
106303,120,"Halakhic Times, for Home and Travel; 3rd expanded ed.(Eng.&Heb.)","World-Wide Times-of-Day Tables, with Halakhic and scientific foundations, and permanent calendar; new tables and cities, enlarged and new typed edition","Halakhic Times, for Home and Travel; 3rd expanded ed.(Eng.&Heb.)",7261,Jerusalem,Rubin Mass,368,,2000,33,82,15-Jun-00,35,965-09-0108-6,,,,,,,,"Levi,Leo",,FALSE,TRUE
114087,041,A New Jewish Word View,The unfolding of recognition in creation,A New Jewish Word View,7261,Jerusalem,Rubin Mass,189,,2003,32,80,10-Mar-03,35,965-09-0164-7,,,___ 154,,,,,"Orban,Ivan",,FALSE,TRUE
114658,030,"Jews, Opium and the Kimono","The story of the Jews in the Far-East; Jews built Shanghai, Hong Kong, created the Chinese army, etc.; with index and photos; a revised and edited translation from  Hebrew by Yosef Yaakov","Jews, Opium and the Kimono",7261,Jerusalem,Rubin Mass,282,,2003,34,86,09-Jun-03,30,965-09-0166-3,,,,,,,,"Yehezkel-Shaked,Ezra",,FALSE,FALSE
124533,041,The Trance of Terror,"Psyco-Religious FundaMentalism; Roots and Remedies; A first study that scrutinizes the psycological mechanisms that social systems use to create the ""robotic"" person; Ebook edition: http://www.publishersrow.com/Preview/index.asp?bid=523",The Trance of Terror,7261,Jerusalem,Rubin Mass,236,,2006,50,88,03-Dec-06,35,965-09-0198-1,,,E-BOOK: http://www.publishersrow.com/Preview/index.asp?bid=523,,,,,"Rotenberg,Mordechai",,FALSE,FALSE
124534,047,The Trance of Terror,"Psyco-Religious FundaMentalism; Roots and Remedies; A first study that scrutinizes the psycological mechanisms that social systems use to create the ""robotic"" person; Ebook edition: http://www.publishersrow.com/Preview/index.asp?bid=523",The Trance of Terror,7261,Jerusalem,Rubin Mass,236,,2006,50,88,03-Dec-06,35,965-09-0198-1,,,http://www.publishersrow.com/Preview/index.asp?bid=523,,,,,"Rotenberg,Mordechai",,FALSE,FALSE
124535,043,The Trance of Terror (Ebook edition),"Psyco-Religious FundaMentalism; Roots and Remedies; A first study that scrutinizes the psycological mechanisms that social systems use to create the ""robotic"" person; translation of ""mi-mikdash le-Midrash"", dealing with religious and Judaic terms",The Trance of Terror (Ebook edition),7261,Jerusalem,Rubin Mass,236,,2006,16,88,03-Dec-06,35,965-09-0198-1,,,http://www.publishersrow.com/Preview/index.asp?bid=523,,,,,"Rotenberg,Mordechai",,FALSE,FALSE
124536,042,The Trance of Terror,"Psyco-Religious FundaMentalism; Roots and Remedies; A first study that scrutinizes the psycological mechanisms that social systems use to create the ""robotic"" person; translation of ""mi-mikdash le-Midrash"", dealing with religious and Judaic terms",The Trance of Terror,7261,Jerusalem,Rubin Mass,236,,2006,50,88,03-Dec-06,35,965-09-0198-1,,,http://www.publishersrow.com/Preview/index.asp?bid=523,,,,,"Rotenberg,Mordechai",,FALSE,FALSE
132901,120,"Ad 120 Plus (1900-2053) (small format, soft cover, new edition 2009)","Calendar for 154 years, Hebrew-General, with Holidays and Tora-reading (in Israel and abroad)","Ad 120 Plus (1900-2053) (small format, soft cover, new edition 2009)",7261,Jerusalem,Rubin Mass,320,,2009,17,42,18-Jun-09,35,965-09-0100-4,,,"Pelican edition, ISBN: 965-09-0189-2",,,,,,,FALSE,TRUE
135223,007,Chochmes,"Out of the mouths of children; Bright Sayings in Torah and Judaism; 2 colours, 17/17 cm format, hard cover",Chochmes,7261,Jerusalem,Rubin Mass,64,,2010,15.95,68,18-Apr-10,45,978-965-09-0288-9,,,,,,,,"Kirschenbaum,Judith",,FALSE,FALSE
135461,041,The Tyranny of Time (English and Hebrew),"By Azariah Ibn Ephraim Ben Joab of Modena; A manuscript of the year 1481; edited and annotated; English part: 54 pages, Hebrew part: 154 pages",The Tyranny of Time (English and Hebrew),7261,Jerusalem,Rubin Mass,208,,2010,28,88,20-May-10,35,978-965-09-0292-6,,,,,,,,"Bregman,Dvora",,FALSE,FALSE
