id,tax:product_cat,post_title,post_content,post_excerpt,Parent_ID,attribute:placeofpublisher,attribute:nameofpublisher,attribute:numofpages,attribute:yearofpublishheb,attribute:yearofpublish,Price$,regular_price,dateupdateprice,priceofsale,attribute:ISBN,Status,attribute:author,Misc,NameatENG,PriceNisNoVat,PublisherCode,CodeOfPublish,WriterEngName,NA,Newsletter,PricePermenrant 
100541,010,תולדות בית ההוצאה אררט (עברית ואנגלית),כולל חליפת מכתבים בין בנציון מרגליות ושמעון ראבידוביץ; הקדמה: זאב ויליאם מרגליות,Toldot Bet Hahotsa'a Ararat,7261,ירושלים,ראובן מס,112,,1998,20,50,27-May-98,35,965-09-0091-8,,"גרינבוים,אברהם",,,,,,"Grinboim,A.",,FALSE,TRUE
100601,039,מנחם בגין-דיוקן של מנהיג,מחקר על עמדותיו ועקביותו של בגין כראש ממשלה בנושאי חוץ ופנים; תמונות ונספחים,Menahem Begin - dyukan shel manhig,7261,ירושלים,ראובן מס,124,,1998,19,48,07-Jun-98,35,965-09-0092-6,,"קרניאל,מרדכי",מדף 88,,,,,"Karniel,M.",,FALSE,TRUE
101170,060,השובל הארוך,"אוטוביוגרפיה של חלוצה,רקדנית ובמאית; כולל פרקים על הגנת ירושלים בתש""ח",Hashoval Ha'arokh,7261,ירושלים,ראובן מס,236,,1998,22,56,28-Aug-98,35,965-09-0093-4,,"לוין,דניה",,,,,,"Levin,Dania",,FALSE,TRUE
102064,095,"שו""ת במראה הבזק, כרך ג'","תשובות לשאלות הלכתיות שונות שנשלחו מרבני קהילות בחו""ל לרב שאול ישראלי זצ""ל","Shu""t B'Mare Habazak, vol.3",7261,ירושלים,ראובן מס - ארץ חמדה,258,,1998,36,60,14-Dec-98,35,965-436-006-3,,"ארנרייך,משה; כרמל,יוסף (עורכים)",,,,,,"Ehrenreih,M.&Carmel",,FALSE,TRUE
102561,010,ביאליק בחבלי אבן גבירול,"מחקר אודות השפעת רבי שלמה אבן גבירול על שירתו ואישיותו של ח.נ. ביאליק,כולל מילון פיוטי משותף לשני המשוררים",Bialik BeHevle Ibn Gbirol,7261,ירושלים,ראובן מס,234,,1999,26,66,01-Mar-99,35,965-09-0094-2,,"כ""ץ,שרה",מדף 156,,,,,"Katz,Sara",,FALSE,TRUE
102835,010,קו וגוונים,"פרקי עיון ומסות בספרות העברית והיידית, עיונים באסתטיקה לאור המסורת, הבעש""ט, שירת רחל, השואה",Kav U-Gevanim,7261,ירושלים,ראובן מס,326,,1999,24,59,04-May-99,35,,,"בלאט,אברהם",מדף 154,,,,,"Blat,Avraham",,FALSE,TRUE
103144,041,הקישוט המספרי בתהלים,"אור חדש על מזמורי תהלים, עם גילוי המימד המספרי הנסתר בהם",Ha-kishut Ha-mispari Be-Tehilim,7261,ירושלים,ראובן מס,160,,1999,23,58,14-May-99,35,965-09-098-5,,"בזק,יעקב",,,,,,"Bazak,Yaacov",,FALSE,TRUE
103181,041,תשובה וגאולה,"פירוש ל""אורות התשובה"" לראי""ה קוק זצ""ל, עם מבוא, פירוש והערות על התפתחות רעיון התשובה בהגות היהודית",Teshuvah U-Ge'ulah,7261,ירושלים,ראובן מס,223,,1999,27,68,09-Jun-99,35,965-09-0097-7,,"גרוס,בנימין",,,,,,"Gros,Binyamin",,FALSE,TRUE
103379,110,"הכוזרי"" לרבי יהודה הלוי","מבחר פרקים מסודרים ומבוארים ביאור מלא,בצירוף מבוא וסיכום הפרקים (מהד' חמישית; לשעבר בהוצ' אחיעבר)","""HaKuzari"" LeRabi Yehuda HaLevi",7261,ירושלים,ראובן מס,112,,1999,10,26,12-Jul-99,25,,,"דוד,יונה","לשלם לאחיעבר 2 ש""ח כולל מע""מ לכל עותק מכור",,,,,"David,Yonah",,FALSE,TRUE
105780,041,בין משכן לעגל,"התחדשות דתית מול רפורמה ועזיבת ד'; מסה בבעיות השעה של הדת והחברה; המחבר הינו ראש ישיבת ההסדר בפתח-תקוה, ומהדמויות המובילות במחשבת הציונות הדתית",Bein Mishkan Le-egel,7261,ירושלים,ראובן מס,112,,2000,18,44,20-Mar-00,35,965-09-0104-3,,"שרלו,יובל (הרב)",,,,,,"Rabbi Sherlo,Yuval",,FALSE,TRUE
