post_title,ID,post_excerpt,post_status,post_date,post_author,discount_type,coupon_amount,individual_use,product_ids,product_SKUs,exclude_product_ids,exclude_product_SKUs,usage_count,usage_limit,usage_limit_per_user,limit_usage_to_x_items,date_expires,free_shipping,exclude_sale_items,product_categories,exclude_product_categories,minimum_amount,maximum_amount,customer_email
km100,174601,,publish,15/05/2023 8:39,3,percent,5,yes,,,,,0,0,0,0,,no,no,,,,,
km101,174602,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km102,174603,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km103,174604,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km104,174605,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km105,174606,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km106,174607,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km107,174608,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km108,174609,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km109,174610,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km110,174611,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km111,174612,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km112,174613,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km113,174614,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km114,174615,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km115,174616,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km116,174617,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km117,174618,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km118,174619,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km119,174620,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km120,174621,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km121,174622,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km122,174623,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km123,174624,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km124,174625,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km125,174626,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km126,174627,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km127,174628,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km128,174629,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km129,174630,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km130,174631,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km131,174632,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km132,174633,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km133,174634,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km134,174635,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km135,174636,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km136,174637,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km137,174638,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km138,174639,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km139,174640,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km140,174641,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km141,174642,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km142,174643,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km143,174644,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km144,174645,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km145,174646,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km146,174647,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km147,174648,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km148,174649,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km149,174650,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km150,174651,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km151,174652,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km152,174653,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km153,174654,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km154,174655,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km155,174656,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km156,174657,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km157,174658,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km158,174659,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km159,174660,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km160,174661,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km161,174662,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km162,174663,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km163,174664,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km164,174665,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km165,174666,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km166,174667,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km167,174668,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km168,174669,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km169,174670,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km170,174671,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km171,174672,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km172,174673,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km173,174674,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km174,174675,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km175,174676,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km176,174677,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km177,174678,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km178,174679,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km179,174680,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km180,174681,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km181,174682,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km182,174683,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km183,174684,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km184,174685,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km185,174686,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km186,174687,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km187,174688,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km188,174689,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km189,174690,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km190,174691,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km191,174692,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km192,174693,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km193,174694,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km194,174695,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km195,174696,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km196,174697,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km197,174698,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km198,174699,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km199,174700,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km200,174701,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km201,174702,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km202,174703,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km203,174704,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km204,174705,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km205,174706,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km206,174707,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km207,174708,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km208,174709,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km209,174710,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km210,174711,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km211,174712,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km212,174713,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km213,174714,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km214,174715,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km215,174716,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km216,174717,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km217,174718,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km218,174719,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
km219,174720,,publish,,,percent,5,yes,,,,,,,,,,,,,,,,
