סיווג הספר,תאור סווג הספר בעברית
1,סיפורת ומחזות
2,ספרות ילדים ונוער
3,ספרות דתית לילדים
5,שירה
7,הומור
10,חקרי ספרות ולשון
25,הסטוריה כללית
30,היהודים בתפוצות
31,ציונות
32,השואה
35,ארץ-ישראל
39,פוליטיקה
40,התיישבות
41,מדעי היהדות
42,חברה וחינוך
43,הגות ופילוסופיה
45,חוק ומשפט
46,פובליציסטיקה
47,"צבא, מלחמה, נשק"
48,כלכלה וכספים
50,המזרח התיכון
55,יחסי ישראל-ערב
60,ביוגרפיות ויומנים
75,יידיש
80,יהדות - כללי
81,חגי ישראל
85,"תנ""ך ומפרשיו"
86,פרשת השבוע
90,"משנה, תלמוד, מדרש"
95,הלכה
96,קבלה
97,חסידות
100,"הגות דתית, דרשות ומוסר"
101,פיוט ותפילה
105,כתבי-עת
110,ספרי-לימוד
115,אמנות ומוסיקה
120,ספרי יעץ ולקסיקון
121,דיסרטציות
129,מדעי הרוח
130,מדעי החברה
131,מדעי הטבע
132,"ארכאולוגיה, גאולוגיה"
135,שונות
140,ספרים שאזלו ונדירים
145,הצעות מיוחדות
150,ספרים בשפות זרות
151,תקליטורים ומולטימדיה
152,ספרים בערבית
999,ללא סיווג
